timestamp,x,y,width,height,fps
0.15987539291381836,545,366,19,18,13.156784632082159
0.23538637161254883,545,367,19,18,13.199804881119102
0.31189727783203125,545,367,19,18,13.15626189331047
0.3844170570373535,545,367,19,18,13.35348840170902
0.4634227752685547,545,367,19,18,13.173363216756158
0.5399363040924072,545,367,19,18,13.15595239651103
0.625460147857666,545,367,19,18,12.924878433596085
0.6989715099334717,545,367,19,18,13.00596179659347
0.7770044803619385,545,367,19,18,12.98447417654179
0.8520092964172363,545,367,19,18,13.018454820793503
0.9255201816558838,545,367,19,18,13.069547080414068
1.0000340938568115,545,367,19,18,13.098075689461117
1.0725538730621338,545,367,19,18,13.148779855528721
1.1535594463348389,545,367,19,18,13.087898271455467
1.2290797233581543,545,367,19,18,13.098025924342158
1.299597978591919,545,367,19,18,13.16082780282232
1.3771183490753174,545,366,19,18,13.14518329710426
1.461634874343872,545,366,19,18,13.064628816275578
1.5351452827453613,545,366,19,18,13.091924652387494
1.6082046031951904,545,366,19,18,13.120470125487858
1.6837213039398193,545,366,19,18,13.12621152034636
1.7597289085388184,545,366,19,18,13.127588786333774
1.8322365283966064,545,366,19,18,13.155128637829264
1.910752296447754,545,366,19,18,13.137128019770039
1.9842712879180908,545,366,19,18,13.155109263549189
2.055276870727539,545,366,19,18,13.188544150435547
2.1306562423706055,545,366,19,18,13.191405136118892
2.205169200897217,545,366,19,18,13.199451793550864
2.2836904525756836,545,366,19,18,13.182887960185202
2.3596956729888916,545,366,19,18,13.18202308541116
2.43121337890625,545,366,19,18,13.206413179007292
2.5107269287109375,545,366,19,18,13.185773820166657
2.589249610900879,545,366,19,18,13.171651284581143
2.674527168273926,545,366,19,18,13.12407795024631
2.750805139541626,545,366,19,18,13.123673725795621
2.8313283920288086,545,366,19,18,13.103014314871638
2.9208498001098633,545,366,19,18,13.04203389146797
2.998359441757202,545,366,19,18,13.038299662989797
3.076882839202881,545,366,19,18,13.030343940906242
3.15588641166687,545,366,19,18,13.020759450445189
3.234405517578125,545,366,19,18,13.013656409401083
3.3129208087921143,545,366,19,18,13.01095090979874
3.4004414081573486,545,366,19,18,12.965192510261696
3.475959539413452,545,366,19,18,12.971351806390727
3.5519633293151855,545,366,19,18,12.975425542899671
3.6274805068969727,545,366,19,18,12.981106889437545
3.705988645553589,545,366,19,18,12.975827511239103
